Time,RG
0,2.11991
10,2.1263
20,2.14286
30,2.12878
40,2.13205
50,2.13621
60,2.14214
70,2.13017
80,2.12949
90,2.1329
100,2.12555
110,2.143
120,2.14858
130,2.13855
140,2.13197
150,2.14795
160,2.12012
170,2.13024
180,2.14214
190,2.13613
200,2.12263
210,2.12055
220,2.12969
230,2.1245
240,2.12114
250,2.11093
260,2.12782
270,2.10922
280,2.115
290,2.10792
300,2.12163
310,2.11174
320,2.12172
330,2.11935
340,2.12321
350,2.12171
360,2.12469
370,2.12353
380,2.13289
390,2.12417
400,2.11619
410,2.12567
420,2.11747
430,2.10663
440,2.1256
450,2.11386
460,2.11945
470,2.10984
480,2.10776
490,2.11022
500,2.1318
510,2.1293
520,2.13906
530,2.13488
540,2.13117
550,2.11223
560,2.11941
570,2.11231
580,2.11432
590,2.11571
600,2.11118
610,2.08201
620,2.10223
630,2.10351
640,2.10784
650,2.10882
660,2.11534
670,2.1079
680,2.09765
690,2.10514
700,2.11833
710,2.12205
720,2.13712
730,2.1286
740,2.11652
750,2.1081
760,2.10806
770,2.11755
780,2.11216
790,2.11565
800,2.10891
810,2.12078
820,2.11648
830,2.11107
840,2.1095
850,2.10895
860,2.0965
870,2.08513
880,2.07934
890,2.10695
900,2.11173
910,2.09765
920,2.09171
930,2.09951
940,2.10415
950,2.11528
960,2.1245
970,2.11181
980,2.1006
990,2.10964
1000,2.12042
1010,2.12434
1020,2.11285
1030,2.11437
1040,2.12824
1050,2.11777
1060,2.12867
1070,2.12718
1080,2.13006
1090,2.12728
1100,2.1265
1110,2.11924
1120,2.11246
1130,2.09955
1140,2.11638
1150,2.11018
1160,2.1298
1170,2.13246
1180,2.13943
1190,2.12545
1200,2.11746
1210,2.11135
1220,2.1054
1230,2.11187
1240,2.11228
1250,2.12489
1260,2.12601
1270,2.13384
1280,2.12894
1290,2.13083
1300,2.12405
1310,2.12446
1320,2.13968
1330,2.12183
1340,2.11964
1350,2.12268
1360,2.11975
1370,2.13907
1380,2.12986
1390,2.12176
1400,2.13111
1410,2.12925
1420,2.13282
1430,2.12285
1440,2.12147
1450,2.12481
1460,2.12282
1470,2.11759
1480,2.13033
1490,2.11325
1500,2.11486
1510,2.10103
1520,2.10936
1530,2.12036
1540,2.1075
1550,2.1263
1560,2.13635
1570,2.13203
1580,2.13152
1590,2.11574
1600,2.12285
1610,2.11535
1620,2.12726
1630,2.13129
1640,2.12051
1650,2.13105
1660,2.12785
1670,2.11899
1680,2.11358
1690,2.11647
1700,2.11901
1710,2.11924
1720,2.10479
1730,2.10406
1740,2.09091
1750,2.10213
1760,2.10159
1770,2.11001
1780,2.10193
1790,2.12568
1800,2.11563
1810,2.12051
1820,2.12559
1830,2.12719
1840,2.13409
1850,2.12542
1860,2.13382
1870,2.13816
1880,2.1094
1890,2.12543
1900,2.12802
1910,2.13252
1920,2.13485
1930,2.14073
1940,2.12359
1950,2.14244
1960,2.14894
1970,2.15387
1980,2.14172
1990,2.13701
2000,2.13751
2010,2.15489
2020,2.13661
2030,2.12913
2040,2.13025
2050,2.11814
2060,2.13706
2070,2.14205
2080,2.12813
2090,2.12622
2100,2.11935
2110,2.14023
2120,2.13525
2130,2.12303
2140,2.12066
2150,2.11539
2160,2.11326
2170,2.11081
2180,2.11506
