Time,RG
0,2.11574
10,2.13118
20,2.1401
30,2.14424
40,2.14396
50,2.13173
60,2.13026
70,2.13961
80,2.13776
90,2.11765
100,2.12043
110,2.12721
120,2.11543
130,2.1251
140,2.1122
150,2.11707
160,2.11954
170,2.10246
180,2.10812
190,2.09955
200,2.10424
210,2.10754
220,2.10494
230,2.11286
240,2.10806
250,2.13615
260,2.13088
270,2.12759
280,2.1213
290,2.11972
300,2.12358
310,2.12426
320,2.12678
330,2.13125
340,2.14028
350,2.12533
360,2.12656
370,2.13106
380,2.13452
390,2.13231
400,2.12406
410,2.12672
420,2.13196
430,2.13043
440,2.13976
450,2.13898
460,2.13257
470,2.13087
480,2.14118
490,2.13393
500,2.14523
510,2.14469
520,2.15008
530,2.1474
540,2.15066
550,2.14281
560,2.14883
570,2.15748
580,2.14763
590,2.14796
600,2.14768
610,2.14836
620,2.14222
630,2.14241
640,2.13877
650,2.13955
660,2.13789
670,2.12634
680,2.13494
690,2.13063
700,2.13309
710,2.14091
720,2.13615
730,2.12871
740,2.12701
750,2.14487
760,2.12999
770,2.13765
780,2.14102
790,2.13605
800,2.1303
810,2.1348
820,2.14496
830,2.1246
840,2.12756
850,2.12253
860,2.11732
870,2.12046
880,2.1144
890,2.11681
900,2.11956
910,2.11093
920,2.11091
930,2.11073
940,2.11632
950,2.11748
960,2.11335
970,2.11852
980,2.12584
990,2.10559
1000,2.12444
1010,2.12242
1020,2.12969
1030,2.12767
1040,2.12361
1050,2.11912
1060,2.12774
1070,2.11494
1080,2.12886
1090,2.13307
1100,2.12934
1110,2.12878
1120,2.13789
1130,2.14196
1140,2.13182
1150,2.126
1160,2.11685
1170,2.10862
1180,2.1216
1190,2.11678
1200,2.1148
1210,2.11951
1220,2.11644
1230,2.10687
1240,2.11028
1250,2.10735
1260,2.11551
1270,2.10888
1280,2.10567
1290,2.12437
1300,2.11192
1310,2.11894
1320,2.11832
1330,2.11225
1340,2.12354
1350,2.1256
1360,2.12026
1370,2.13738
1380,2.12901
1390,2.1331
1400,2.12726
1410,2.1289
1420,2.13324
1430,2.13849
1440,2.12955
1450,2.12262
1460,2.1253
1470,2.11919
1480,2.12595
1490,2.12047
1500,2.1165
1510,2.11618
1520,2.12649
1530,2.13265
1540,2.12085
1550,2.13042
1560,2.12912
1570,2.12434
1580,2.13774
1590,2.13622
1600,2.13438
1610,2.13743
1620,2.1259
1630,2.12811
1640,2.12609
1650,2.13545
1660,2.11473
1670,2.12133
1680,2.12776
1690,2.13429
1700,2.13412
1710,2.11976
1720,2.1359
1730,2.1426
1740,2.14564
1750,2.14262
1760,2.13649
1770,2.14259
1780,2.13223
1790,2.14452
1800,2.14979
1810,2.15297
1820,2.14715
1830,2.12881
1840,2.14304
1850,2.1584
1860,2.14414
1870,2.14782
1880,2.1539
1890,2.1604
1900,2.16608
1910,2.16155
1920,2.15513
1930,2.1623
1940,2.14899
1950,2.14712
1960,2.16446
1970,2.16945
1980,2.17451
1990,2.15302
2000,2.16411
2010,2.15625
2020,2.15599
2030,2.16447
2040,2.16247
2050,2.14912
2060,2.15438
2070,2.15674
2080,2.1574
2090,2.1562
2100,2.16313
2110,2.15986
2120,2.16116
2130,2.17231
2140,2.17702
2150,2.18451
2160,2.16511
2170,2.16597
2180,2.15943
2190,2.15764
2200,2.15743
2210,2.16252
2220,2.1638
2230,2.17918
2240,2.17338
2250,2.17053
2260,2.18018
2270,2.18182
2280,2.16892
2290,2.16522
2300,2.17083
2310,2.17551
2320,2.17516
2330,2.17127
2340,2.16532
2350,2.1588
2360,2.167
2370,2.16383
2380,2.16504
2390,2.15736
2400,2.15371
2410,2.15731
2420,2.14948
2430,2.15049
2440,2.15181
2450,2.16413
2460,2.16643
2470,2.15937
2480,2.16206
2490,2.15946
2500,2.17133
2510,2.17304
2520,2.16922
2530,2.17359
2540,2.1716
2550,2.16904
2560,2.18506
2570,2.1621
2580,2.16461
2590,2.18463
2600,2.19242
2610,2.18819
2620,2.1784
2630,2.18131
2640,2.19185
2650,2.21248
2660,2.20718
2670,2.1868
2680,2.19083
2690,2.18858
2700,2.1825
2710,2.17241
2720,2.1796
2730,2.18261
2740,2.18478
2750,2.17676
2760,2.17809
2770,2.18783
2780,2.17245
2790,2.17339
2800,2.18445
2810,2.18722
2820,2.18029
2830,2.19059
2840,2.17662
2850,2.16444
2860,2.16401
2870,2.17268
2880,2.1692
2890,2.17164
2900,2.1707
2910,2.17647
2920,2.18014
2930,2.18122
2940,2.17332
2950,2.17193
2960,2.16059
2970,2.17423
2980,2.17154
2990,2.17481
3000,2.17133
3010,2.1759
3020,2.17562
3030,2.17113
3040,2.16719
3050,2.17258
3060,2.17436
3070,2.16277
3080,2.16902
3090,2.17381
3100,2.18381
3110,2.17132
3120,2.16247
3130,2.16305
3140,2.1484
3150,2.14859
3160,2.15416
3170,2.15704
3180,2.15098
3190,2.13343
3200,2.14825
3210,2.14839
3220,2.16565
3230,2.15947
3240,2.15396
3250,2.15072
3260,2.15391
3270,2.16934
3280,2.16334
3290,2.16618
3300,2.15634
3310,2.16207
3320,2.16349
3330,2.16507
3340,2.1471
3350,2.14845
3360,2.16776
3370,2.18074
3380,2.17957
3390,2.16222
3400,2.16065
3410,2.15557
3420,2.17507
3430,2.15744
3440,2.15614
3450,2.14976
3460,2.16974
3470,2.16892
3480,2.17777
3490,2.17392
3500,2.17267
3510,2.16825
3520,2.17841
3530,2.17798
3540,2.17627
3550,2.18626
3560,2.16553
3570,2.17048
3580,2.17513
3590,2.16537
3600,2.17758
3610,2.16899
3620,2.16175
3630,2.16433
3640,2.17545
3650,2.176
3660,2.18011
3670,2.18344
3680,2.1677
3690,2.17858
3700,2.18526
3710,2.1873
3720,2.18731
3730,2.20041
3740,2.18781
3750,2.17899
3760,2.17856
3770,2.17476
3780,2.18016
3790,2.17398
3800,2.17418
3810,2.17115
3820,2.17672
3830,2.16907
3840,2.17629
3850,2.18554
3860,2.18218
3870,2.17102
3880,2.16728
3890,2.18058
3900,2.17735
3910,2.16844
3920,2.17186
3930,2.16974
3940,2.1608
3950,2.17275
3960,2.1844
3970,2.17886
3980,2.18744
3990,2.16931
4000,2.16904
4010,2.17297
4020,2.17432
4030,2.16287
4040,2.17285
4050,2.17279
4060,2.16698
4070,2.16686
4080,2.17923
4090,2.16476
4100,2.16416
4110,2.169
4120,2.18152
4130,2.16285
4140,2.16776
4150,2.17154
4160,2.18895
4170,2.19687
4180,2.19193
4190,2.19689
4200,2.19153
4210,2.20276
4220,2.18412
4230,2.16669
4240,2.1761
4250,2.16476
4260,2.16171
4270,2.15634
4280,2.16228
4290,2.15347
4300,2.14238
4310,2.15335
4320,2.15372
4330,2.17101
4340,2.16131
4350,2.15923
4360,2.15308
4370,2.16744
4380,2.15849
4390,2.15255
4400,2.16314
4410,2.15857
4420,2.16744
4430,2.15141
4440,2.14489
4450,2.14617
4460,2.14799
4470,2.16942
4480,2.15978
4490,2.16331
4500,2.17506
4510,2.17663
4520,2.16605
4530,2.15271
4540,2.15623
4550,2.17141
4560,2.16283
4570,2.15303
4580,2.15684
4590,2.16402
4600,2.16961
4610,2.15336
4620,2.16823
4630,2.15502
4640,2.14273
4650,2.14748
4660,2.15125
4670,2.15025
4680,2.16223
4690,2.15326
4700,2.12977
4710,2.15104
4720,2.14215
4730,2.1459
4740,2.13977
4750,2.14788
4760,2.13422
4770,2.14811
4780,2.1642
4790,2.1459
4800,2.16277
4810,2.14964
4820,2.15094
4830,2.14811
4840,2.162
4850,2.1601
4860,2.16573
4870,2.16762
4880,2.16447
4890,2.16382
4900,2.17314
4910,2.15015
4920,2.15467
4930,2.15867
4940,2.13326
4950,2.14605
4960,2.1357
4970,2.1423
4980,2.14211
4990,2.13859
5000,2.12975
5010,2.12799
5020,2.12852
5030,2.12359
5040,2.13084
5050,2.13073
5060,2.12774
5070,2.12978
5080,2.13739
5090,2.13364
5100,2.12731
5110,2.13415
5120,2.1245
5130,2.11673
5140,2.13131
5150,2.13206
5160,2.11933
5170,2.117
5180,2.09813
5190,2.11824
5200,2.1209
5210,2.1283
5220,2.12844
5230,2.14217
5240,2.13492
5250,2.13013
5260,2.13836
5270,2.11583
5280,2.12761
5290,2.1211
5300,2.11648
5310,2.12439
5320,2.12493
5330,2.13176
5340,2.13973
5350,2.13983
5360,2.13397
5370,2.14008
5380,2.15088
5390,2.16395
5400,2.12859
5410,2.13881
5420,2.13435
5430,2.12714
5440,2.1202
5450,2.1259
5460,2.11972
5470,2.13396
5480,2.13185
5490,2.13473
5500,2.13268
5510,2.11859
5520,2.11167
5530,2.11702
5540,2.12082
5550,2.12654
5560,2.12903
5570,2.13705
5580,2.12168
5590,2.12153
5600,2.12055
5610,2.11583
5620,2.12256
5630,2.11312
5640,2.11049
5650,2.11103
5660,2.11461
5670,2.11626
5680,2.10921
5690,2.09991
5700,2.10564
5710,2.10922
5720,2.10089
5730,2.11935
5740,2.1251
5750,2.13085
5760,2.13932
5770,2.13214
5780,2.12321
5790,2.13385
5800,2.13357
5810,2.11743
5820,2.12394
5830,2.11543
5840,2.13216
5850,2.13051
5860,2.13364
5870,2.12687
5880,2.13391
5890,2.12302
5900,2.13973
5910,2.13702
5920,2.14762
5930,2.13822
5940,2.13753
5950,2.14916
5960,2.14488
5970,2.13677
5980,2.14239
5990,2.14277
6000,2.13758
6010,2.13234
6020,2.15249
6030,2.13965
6040,2.13402
6050,2.14936
6060,2.1499
6070,2.15086
6080,2.14625
6090,2.13947
6100,2.14013
6110,2.13484
6120,2.13992
6130,2.12864
6140,2.1325
6150,2.13195
6160,2.13053
6170,2.13936
6180,2.12977
6190,2.14325
6200,2.13303
6210,2.14433
6220,2.12878
6230,2.14039
6240,2.14679
6250,2.15533
6260,2.14057
6270,2.1454
6280,2.14749
6290,2.15148
6300,2.13879
6310,2.14361
6320,2.14551
6330,2.15928
6340,2.17106
6350,2.16771
6360,2.16208
6370,2.16347
6380,2.15459
6390,2.16409
6400,2.1549
6410,2.13912
6420,2.16032
6430,2.1683
6440,2.15719
6450,2.1593
6460,2.15817
6470,2.17085
6480,2.17165
6490,2.16567
6500,2.16417
6510,2.16994
6520,2.16876
6530,2.17617
6540,2.16904
6550,2.15839
6560,2.17557
6570,2.17063
6580,2.17332
6590,2.17311
6600,2.17063
6610,2.17339
6620,2.17151
6630,2.18099
6640,2.16995
6650,2.17166
6660,2.17746
6670,2.18833
6680,2.1977
6690,2.17686
6700,2.18885
6710,2.16981
6720,2.17177
6730,2.16365
6740,2.16467
6750,2.16626
6760,2.17092
6770,2.17717
6780,2.16163
6790,2.16972
6800,2.17074
6810,2.17543
6820,2.17554
6830,2.17529
6840,2.18755
6850,2.17591
6860,2.16709
6870,2.16688
6880,2.16552
6890,2.17352
6900,2.18184
6910,2.17867
6920,2.16994
6930,2.1703
6940,2.16722
6950,2.17245
6960,2.16428
6970,2.18263
6980,2.15989
6990,2.17644
7000,2.17522
7010,2.17525
7020,2.18108
7030,2.16042
7040,2.15202
7050,2.15849
7060,2.17176
7070,2.17175
7080,2.18319
7090,2.18295
7100,2.17342
7110,2.1697
7120,2.17007
7130,2.1804
7140,2.17285
7150,2.16162
7160,2.17202
7170,2.17809
7180,2.17756
7190,2.18091
7200,2.17109
7210,2.17522
7220,2.17941
7230,2.16648
7240,2.17321
7250,2.16737
7260,2.16648
7270,2.18157
7280,2.17089
7290,2.17245
7300,2.17237
7310,2.18034
7320,2.16682
7330,2.17576
7340,2.18036
7350,2.18085
7360,2.16503
7370,2.15702
7380,2.17105
7390,2.17114
7400,2.15191
7410,2.17988
7420,2.17566
7430,2.1703
7440,2.1694
7450,2.16921
7460,2.16425
7470,2.15886
7480,2.16153
7490,2.17877
7500,2.16639
7510,2.16222
7520,2.17291
7530,2.1584
7540,2.14648
7550,2.16631
7560,2.16423
7570,2.16856
7580,2.17544
7590,2.1646
7600,2.15789
7610,2.17351
7620,2.17397
7630,2.16493
7640,2.16008
7650,2.17275
7660,2.16741
7670,2.17109
7680,2.17465
7690,2.17284
7700,2.18603
7710,2.17639
7720,2.18948
7730,2.1863
7740,2.17536
7750,2.18551
7760,2.19353
7770,2.18278
7780,2.18799
7790,2.17446
7800,2.17526
7810,2.17004
7820,2.17701
7830,2.18261
7840,2.17246
7850,2.1792
7860,2.1717
7870,2.18152
7880,2.18239
7890,2.17399
7900,2.17935
7910,2.18184
7920,2.16811
7930,2.16532
7940,2.17938
7950,2.17196
7960,2.1827
7970,2.18103
7980,2.18791
7990,2.17978
8000,2.17192
8010,2.18772
8020,2.17733
8030,2.17079
8040,2.1895
8050,2.17663
8060,2.18148
8070,2.17539
8080,2.17835
8090,2.1699
8100,2.17203
8110,2.18545
8120,2.17509
8130,2.19173
8140,2.18865
8150,2.17775
8160,2.17386
8170,2.16717
8180,2.16149
8190,2.16759
8200,2.17266
8210,2.16159
8220,2.17211
8230,2.19808
8240,2.19963
8250,2.19021
8260,2.1859
8270,2.18789
8280,2.19427
8290,2.18751
8300,2.19653
8310,2.18815
8320,2.18925
8330,2.18294
8340,2.17268
8350,2.17102
8360,2.16494
8370,2.16802
8380,2.17283
8390,2.17648
8400,2.17535
8410,2.17872
8420,2.16417
8430,2.17645
8440,2.15027
8450,2.16799
8460,2.16769
8470,2.16831
8480,2.16911
8490,2.17216
8500,2.17177
8510,2.17315
8520,2.17654
8530,2.18087
8540,2.18327
8550,2.18084
8560,2.17364
8570,2.16759
8580,2.16659
8590,2.16905
8600,2.17531
8610,2.17211
8620,2.17964
8630,2.1776
8640,2.17142
8650,2.17565
8660,2.17403
8670,2.16262
8680,2.18175
8690,2.17134
8700,2.17328
8710,2.16742
8720,2.17095
8730,2.16405
8740,2.16719
8750,2.16233
8760,2.17945
8770,2.1765
8780,2.1821
8790,2.17452
8800,2.17418
8810,2.16227
8820,2.16386
8830,2.16985
8840,2.16574
8850,2.16875
8860,2.16119
8870,2.16063
8880,2.16572
8890,2.17067
8900,2.18504
8910,2.17221
8920,2.18036
8930,2.18096
8940,2.17836
8950,2.18078
8960,2.18294
8970,2.17066
8980,2.17585
8990,2.16915
9000,2.17192
9010,2.17508
9020,2.17477
9030,2.17537
9040,2.17443
9050,2.16089
9060,2.1654
9070,2.17129
9080,2.17051
9090,2.16567
9100,2.16861
9110,2.16468
9120,2.17246
9130,2.17725
9140,2.17516
9150,2.15886
9160,2.16111
9170,2.16715
9180,2.17684
9190,2.17901
9200,2.16985
9210,2.17979
9220,2.16291
9230,2.16922
9240,2.17273
9250,2.1677
9260,2.18006
9270,2.16478
9280,2.18354
9290,2.16282
9300,2.16742
9310,2.15853
9320,2.16214
9330,2.15595
9340,2.16673
9350,2.17721
9360,2.1867
9370,2.18677
9380,2.18149
9390,2.17485
9400,2.17575
9410,2.17231
9420,2.18468
9430,2.19079
9440,2.18061
9450,2.17831
9460,2.17262
9470,2.17603
9480,2.17958
9490,2.17282
9500,2.17681
9510,2.17676
9520,2.1729
9530,2.17195
9540,2.15739
9550,2.17035
9560,2.15997
9570,2.15783
9580,2.16016
9590,2.1601
9600,2.16337
9610,2.16492
9620,2.17024
9630,2.1716
9640,2.16329
9650,2.17913
9660,2.18426
9670,2.18071
9680,2.18622
9690,2.17329
9700,2.18668
9710,2.17219
9720,2.17281
9730,2.16646
9740,2.15908
9750,2.17048
9760,2.16324
9770,2.15128
9780,2.16451
9790,2.15435
9800,2.16727
9810,2.17595
9820,2.17506
9830,2.17928
9840,2.1666
9850,2.16817
9860,2.15448
9870,2.16146
9880,2.15968
9890,2.1591
9900,2.16614
9910,2.16172
9920,2.1594
9930,2.15147
9940,2.14785
9950,2.15335
9960,2.1456
9970,2.13814
9980,2.13702
9990,2.15326
10000,2.14138
10010,2.14856
10020,2.15744
10030,2.15028
10040,2.15331
10050,2.16082
10060,2.15467
10070,2.16385
10080,2.15557
10090,2.16224
10100,2.16513
10110,2.17298
10120,2.16461
10130,2.15789
10140,2.17026
10150,2.17013
10160,2.16878
10170,2.16716
10180,2.17334
10190,2.15921
10200,2.15411
10210,2.1521
10220,2.16278
10230,2.15313
10240,2.15789
10250,2.14765
10260,2.14608
10270,2.15247
10280,2.17092
10290,2.17215
10300,2.15965
10310,2.16329
10320,2.16486
10330,2.15666
10340,2.15798
10350,2.16714
10360,2.15742
10370,2.16045
10380,2.16202
10390,2.16555
10400,2.16019
10410,2.16087
10420,2.15913
10430,2.16859
10440,2.18528
10450,2.18643
10460,2.17378
10470,2.19475
10480,2.17451
10490,2.17799
10500,2.16984
10510,2.17597
10520,2.17256
10530,2.18852
10540,2.18299
