Time,RG
0,2.11738
10,2.1422
20,2.1444
30,2.14887
40,2.15363
50,2.16303
60,2.15547
70,2.17322
80,2.16389
90,2.14362
100,2.15079
110,2.15681
120,2.14258
130,2.14586
140,2.16534
150,2.16322
160,2.16868
170,2.14478
180,2.14849
190,2.13298
200,2.15564
210,2.16735
220,2.15768
230,2.15567
240,2.14536
250,2.13375
260,2.14429
270,2.13806
280,2.12179
290,2.10936
300,2.1109
310,2.11056
320,2.11673
330,2.11314
340,2.11491
350,2.12636
360,2.1295
370,2.13121
380,2.12579
390,2.1171
400,2.11855
410,2.11926
420,2.09735
430,2.09755
440,2.11825
450,2.12785
460,2.1251
470,2.11656
480,2.1233
490,2.14115
500,2.14143
510,2.13762
520,2.16197
530,2.15089
540,2.14417
550,2.13438
560,2.14937
570,2.1492
580,2.13926
590,2.15051
600,2.13782
610,2.13754
620,2.14939
630,2.15406
640,2.14715
650,2.14347
660,2.15693
670,2.15612
680,2.154
690,2.14618
700,2.13634
710,2.14201
720,2.14079
730,2.14528
740,2.13492
750,2.15058
760,2.1513
770,2.13781
780,2.13394
790,2.13806
800,2.14458
810,2.14486
820,2.15813
830,2.14842
840,2.14928
850,2.13525
860,2.1465
870,2.14767
880,2.145
890,2.14669
900,2.153
910,2.14827
920,2.14296
930,2.15736
940,2.15994
950,2.16092
960,2.14322
970,2.15002
980,2.15533
990,2.15991
1000,2.16029
1010,2.16841
1020,2.16227
1030,2.15201
1040,2.16164
1050,2.1612
1060,2.16238
1070,2.16143
1080,2.16285
1090,2.16589
1100,2.17426
1110,2.16989
1120,2.16627
1130,2.17016
1140,2.15891
1150,2.168
1160,2.16419
1170,2.17323
1180,2.16712
1190,2.15832
1200,2.1696
1210,2.16861
1220,2.16419
1230,2.15736
1240,2.16457
1250,2.15491
1260,2.15267
1270,2.17401
1280,2.16692
1290,2.15617
1300,2.15647
1310,2.17004
1320,2.14728
1330,2.1692
1340,2.16118
1350,2.15438
1360,2.15847
1370,2.16941
1380,2.17421
1390,2.16414
1400,2.15857
1410,2.15617
1420,2.15795
1430,2.15352
1440,2.17884
1450,2.17584
1460,2.1692
1470,2.16598
1480,2.1684
1490,2.16427
1500,2.15673
1510,2.16489
1520,2.16261
1530,2.16022
1540,2.1772
1550,2.16505
1560,2.16574
1570,2.15455
1580,2.16398
1590,2.16639
1600,2.16887
1610,2.1637
1620,2.1679
1630,2.17491
1640,2.16682
1650,2.16984
1660,2.16676
1670,2.16462
1680,2.15497
1690,2.15813
1700,2.15556
1710,2.15423
1720,2.15698
1730,2.16209
1740,2.16588
1750,2.16354
1760,2.16571
1770,2.1699
1780,2.17329
1790,2.16537
1800,2.17161
1810,2.17511
1820,2.16339
1830,2.1504
1840,2.17647
1850,2.1686
1860,2.1684
1870,2.17243
1880,2.16891
1890,2.17999
1900,2.16719
1910,2.17685
1920,2.1632
1930,2.14726
1940,2.13983
1950,2.15215
1960,2.14374
1970,2.14072
1980,2.14267
1990,2.1541
2000,2.15886
2010,2.15325
2020,2.15663
2030,2.16747
2040,2.1648
2050,2.16197
2060,2.15991
2070,2.16859
2080,2.1735
2090,2.16964
2100,2.16483
2110,2.15584
2120,2.1633
2130,2.15676
2140,2.1692
2150,2.1605
2160,2.17411
2170,2.15213
2180,2.17378
2190,2.15786
2200,2.16685
2210,2.15711
2220,2.16718
2230,2.16636
2240,2.1626
2250,2.17404
2260,2.17294
2270,2.15922
2280,2.15809
2290,2.15582
2300,2.16087
2310,2.16478
2320,2.16626
2330,2.16264
2340,2.15835
2350,2.16631
2360,2.17026
2370,2.16286
2380,2.16457
2390,2.16608
2400,2.14318
2410,2.15819
2420,2.13743
2430,2.14905
2440,2.16489
2450,2.1675
2460,2.16621
2470,2.16905
2480,2.16413
2490,2.15349
2500,2.15984
2510,2.148
2520,2.15528
2530,2.15407
2540,2.15894
2550,2.16688
2560,2.17068
2570,2.16636
2580,2.16652
2590,2.16361
2600,2.18054
2610,2.17375
2620,2.15673
2630,2.15908
2640,2.16711
2650,2.16373
2660,2.16222
2670,2.16787
2680,2.16142
2690,2.15873
2700,2.17592
2710,2.15548
2720,2.16315
2730,2.16701
2740,2.17335
2750,2.17439
2760,2.1754
2770,2.16874
2780,2.16228
2790,2.17143
2800,2.17082
2810,2.17448
2820,2.16553
2830,2.17299
2840,2.15981
2850,2.1637
2860,2.15829
2870,2.14898
2880,2.1559
2890,2.1744
2900,2.16292
2910,2.162
2920,2.16352
2930,2.17113
2940,2.16275
2950,2.16158
2960,2.14854
2970,2.15382
2980,2.15482
2990,2.15531
3000,2.15483
3010,2.15616
3020,2.16735
3030,2.16145
3040,2.16102
3050,2.16285
3060,2.1616
3070,2.17808
3080,2.16146
3090,2.16459
3100,2.1617
3110,2.16663
3120,2.17068
3130,2.16128
3140,2.16488
3150,2.17019
3160,2.16871
3170,2.16723
3180,2.15728
3190,2.15182
3200,2.17214
3210,2.16984
3220,2.1717
3230,2.17541
3240,2.19537
3250,2.18226
3260,2.17651
3270,2.17406
3280,2.17136
3290,2.17442
3300,2.17327
3310,2.17542
3320,2.18048
3330,2.17077
3340,2.16304
3350,2.18724
3360,2.17476
3370,2.18234
3380,2.18136
3390,2.18206
3400,2.16879
3410,2.16695
3420,2.17852
3430,2.1677
3440,2.18504
3450,2.18738
3460,2.17274
3470,2.1703
3480,2.19237
3490,2.1887
3500,2.18056
3510,2.17649
3520,2.18483
3530,2.18288
3540,2.18847
3550,2.17767
3560,2.17768
3570,2.18411
3580,2.18427
3590,2.17826
3600,2.17891
3610,2.18442
3620,2.19562
3630,2.1847
3640,2.17889
3650,2.18514
3660,2.19007
3670,2.19967
3680,2.17867
3690,2.18543
3700,2.16589
3710,2.17616
3720,2.18587
3730,2.19512
3740,2.19046
